date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:12:30	57453/57453	---MCZ	200	added ('OK')	text/css	etag:W/%2260bd12ce-e06d%22	https://pube.finance/wp-content/uploads/elementor/css/post-51.css?ver=1623003854	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/uploads/elementor/css/post-51959e.css	(from https://pube.finance/)
19:12:31	153518/153518	---MCZ	200	added ('OK')	text/css	etag:W/%2260aac23e-257ae%22	https://pube.finance/wp-content/plugins/uicore-framework/assets/css/frontend.css?ver=2.0.1	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/uicore-framework/assets/css/frontend7406.css	(from https://pube.finance/)
19:12:31	2672/2672	---MCZ	200	added ('OK')	text/css	etag:W/%2260aac23e-a70%22	https://pube.finance/wp-content/plugins/uicore-framework/assets/fonts/uicore-icons.css?ver=2.0.1	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/uicore-framework/assets/fonts/uicore-icons7406.css	(from https://pube.finance/)
19:12:31	57912/57912	---MCZ	200	added ('OK')	text/css	etag:W/%2260aac23e-e238%22	https://pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.1	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min9e0b.css	(from https://pube.finance/)
19:12:31	669/669	---M--	200	added ('OK')	text/css	etag:%2260aac23e-29d%22	https://pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.1	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min9e0b.css	(from https://pube.finance/)
19:12:31	675/675	---M--	200	added ('OK')	text/css	etag:%2260aac23e-2a3%22	https://pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.1	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min9e0b.css	(from https://pube.finance/)
19:12:32	89496/89496	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260aac240-15d98%22	https://pube.finance/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-includes/js/jquery/jquery.min9d52.js	(from https://pube.finance/)
19:12:32	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260aac240-2bd8%22	https://pube.finance/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://pube.finance/)
19:12:32	38875/38875	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260aac23f-97db%22	https://pube.finance/wp-content/plugins/popup-builder/public/js/Popup.js?ver=3.84	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/popup-builder/public/js/Popupa54c.js	(from https://pube.finance/)
19:12:33	6010/6010	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260aac23f-177a%22	https://pube.finance/wp-content/plugins/popup-builder/public/js/PopupConfig.js?ver=3.84	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/popup-builder/public/js/PopupConfiga54c.js	(from https://pube.finance/)
19:12:34	81826/81826	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260aac23f-13fa2%22	https://pube.finance/wp-content/plugins/popup-builder/public/js/PopupBuilder.js?ver=3.84	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/popup-builder/public/js/PopupBuildera54c.js	(from https://pube.finance/)
19:12:34	137757/137757	---MCZ	200	added ('OK')	application/json	date:Wed,%2009%20Jun%202021%2017:12:34%20GMT	https://pube.finance/wp-json/	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-json/index.html	(from https://pube.finance/)
19:12:35	71660/71660	---MCZ	200	added ('OK')	application/json	date:Wed,%2009%20Jun%202021%2017:12:35%20GMT	https://pube.finance/wp-json/wp/v2/pages/51	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-json/wp/v2/pages/51.json	(from https://pube.finance/)
19:12:35	786/786	---M-Z	200	added ('OK')	text/xml	date:Wed,%2009%20Jun%202021%2017:12:35%20GMT	https://pube.finance/xmlrpc.php?rsd	D:/Crypto/Mes%20sites/PUBE/pube.finance/xmlrpc0db0.php	(from https://pube.finance/)
19:12:35	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-5c30592884556-gzip%22	https://pube.finance/wp-includes/wlwmanifest.xml	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-includes/wlwmanifest.xml	(from https://pube.finance/)
